DSP,RhoA,RhoC,TJP1,param_value,param_name,delta,phenotype
0.5036010000000001,0.446962,0.635627,0.5030000000000001,1.0,$RhoA_mod,0.18866500000000003,Normal
0.49840000000000007,0.524771,0.5892569999999999,0.4998,2.0,$RhoA_mod,0.06448599999999993,Normal
0.511399,0.585975,0.5492170000000001,0.5018,3.0,$RhoA_mod,-0.03675799999999996,Normal
0.4968,0.601041,0.55389,0.501,4.0,$RhoA_mod,-0.047151000000000054,Normal
0.506999,0.6176250000000001,0.5441619999999999,0.5156,5.0,$RhoA_mod,-0.07346300000000017,Normal
0.500201,0.61752,0.5545260000000001,0.4912,6.0,$RhoA_mod,-0.06299399999999988,Normal
0.5001990000000001,0.63259,0.535431,0.490401,7.0,$RhoA_mod,-0.097159,Normal
0.496,0.404773,0.66184,0.49019900000000005,0.1,$RhoA_basal,0.257067,Hyper
0.504201,0.45839399999999997,0.6223400000000001,0.5068,0.30000000000000004,$RhoA_basal,0.16394600000000015,Normal
0.5006010000000001,0.51247,0.598732,0.4988,0.5000000000000001,$RhoA_basal,0.08626200000000006,Normal
0.496199,0.556814,0.579429,0.500601,0.7000000000000002,$RhoA_basal,0.02261499999999994,Normal
0.512,0.585142,0.563736,0.508199,0.9000000000000001,$RhoA_basal,-0.021406000000000036,Normal
0.505799,0.6075240000000001,0.5536679999999999,0.5054000000000001,1.1,$RhoA_basal,-0.053856000000000126,Normal
0.49619900000000006,0.632956,0.533392,0.488599,1.3000000000000003,$RhoA_basal,-0.09956399999999999,Normal
0.513,0.630631,0.44533999999999996,0.49659999999999993,1.0,$RhoC_mod,-0.1852910000000001,Normal
0.49280000000000007,0.588434,0.5241589999999999,0.49160099999999995,2.0,$RhoC_mod,-0.06427500000000008,Normal
0.506599,0.579168,0.5642659999999999,0.4913989999999999,3.0,$RhoC_mod,-0.014902000000000082,Normal
0.5036,0.559222,0.588878,0.4918,4.0,$RhoC_mod,0.029656000000000016,Normal
0.502401,0.5480219999999999,0.620749,0.502,5.0,$RhoC_mod,0.0727270000000001,Normal
0.5025999999999999,0.549426,0.621112,0.49060000000000004,6.0,$RhoC_mod,0.07168600000000003,Normal
0.5057999999999999,0.539394,0.631074,0.5042,7.0,$RhoC_mod,0.09167999999999998,Normal
0.5034,0.657302,0.406858,0.503201,0.1,$RhoC_basal,-0.25044400000000006,Failed
0.5052,0.626263,0.47204,0.49380100000000005,0.30000000000000004,$RhoC_basal,-0.154223,Normal
0.499801,0.5886279999999999,0.521078,0.506402,0.5000000000000001,$RhoC_basal,-0.06754999999999989,Normal
0.499598,0.577329,0.558006,0.501799,0.7000000000000002,$RhoC_basal,-0.01932299999999998,Normal
0.5116,0.574103,0.5805910000000001,0.5066010000000001,0.9000000000000001,$RhoC_basal,0.006488000000000049,Normal
0.504399,0.5559080000000001,0.596725,0.49679900000000005,1.1,$RhoC_basal,0.04081699999999988,Normal
0.509599,0.5444640000000001,0.617037,0.5008009999999999,1.3000000000000003,$RhoC_basal,0.07257299999999989,Normal
