DSP,RhoA,RhoC,param_value,param_name,delta,phenotype
0.5004000000000001,0.535848,0.480463,1.0,$RhoA_mod,-0.05538500000000002,Normal
0.5025999999999999,0.605915,0.441132,2.0,$RhoA_mod,-0.16478299999999996,Normal
0.5096,0.6465230000000001,0.41942999999999997,3.0,$RhoA_mod,-0.2270930000000001,Normal
0.49240000000000006,0.6713180000000001,0.40087399999999995,4.0,$RhoA_mod,-0.27044400000000013,Failed
0.4966,0.6879299999999999,0.397658,5.0,$RhoA_mod,-0.2902719999999999,Failed
0.5073989999999999,0.690187,0.403265,6.0,$RhoA_mod,-0.286922,Failed
0.494599,0.700375,0.384245,7.0,$RhoA_mod,-0.31612999999999997,Failed
0.5021990000000001,0.46459100000000003,0.5245449999999999,0.1,$RhoA_basal,0.059953999999999896,Normal
0.49040000000000006,0.53483,0.485113,0.30000000000000004,$RhoA_basal,-0.04971700000000001,Normal
0.507201,0.5962949999999999,0.450851,0.5000000000000001,$RhoA_basal,-0.1454439999999999,Normal
0.5012,0.632812,0.42994,0.7000000000000002,$RhoA_basal,-0.20287200000000005,Normal
0.5012,0.6657420000000001,0.416045,0.9000000000000001,$RhoA_basal,-0.24969700000000006,Normal
0.5024,0.689755,0.395621,1.1,$RhoA_basal,-0.294134,Failed
0.49779999999999996,0.6978989999999999,0.39222899999999994,1.3000000000000003,$RhoA_basal,-0.30567,Failed
0.497,0.819577,0.086,0.1,$RhoC_basal,-0.733577,Failed
0.501201,0.758089,0.21202799999999997,0.30000000000000004,$RhoC_basal,-0.546061,Failed
0.5022,0.712489,0.30376000000000003,0.5000000000000001,$RhoC_basal,-0.408729,Failed
0.506,0.6606620000000001,0.385552,0.7000000000000002,$RhoC_basal,-0.2751100000000001,Failed
0.5074,0.637111,0.449797,0.9000000000000001,$RhoC_basal,-0.18731399999999998,Normal
0.49520100000000006,0.613126,0.49085899999999993,1.1,$RhoC_basal,-0.12226700000000001,Normal
0.5058,0.591264,0.5253019999999999,1.3000000000000003,$RhoC_basal,-0.06596200000000008,Normal
