t,DSP,TJP1,JCAD,RhoA,RhoC
0.0,0.49989900000000004,0.0,0.5,0.538238,0.482505
0.1,0.49989999999999996,0.0,0.5,0.5837559999999999,0.457491
0.2,0.49990100000000004,0.0,0.500001,0.6087140000000001,0.439185
0.3,0.499901,0.0,0.5,0.622491,0.424974
0.4,0.49990100000000004,0.0,0.5000009999999999,0.63436,0.417816
0.5,0.49989999999999996,0.0,0.5,0.642071,0.410941
0.6,0.4999,0.0,0.500001,0.6467050000000001,0.40421500000000005
0.7,0.4999,0.0,0.500001,0.651849,0.40229600000000004
0.8,0.499899,0.0,0.5,0.658413,0.39738299999999993
0.9,0.499899,0.0,0.5,0.6643829999999998,0.3963479999999999
1.0,0.499899,0.0,0.500001,0.6677229999999998,0.393671
1.1,0.4999,0.0,0.49999999999999994,0.6696110000000001,0.392079
1.2,0.4999,0.0,0.5,0.670278,0.3934559999999999
1.3,0.4999,0.0,0.5,0.673686,0.3983480000000001
1.4,0.4998999999999999,0.0,0.5,0.677205,0.399238
1.5,0.499899,0.0,0.5,0.6778790000000001,0.400006
1.6,0.4999,0.0,0.5,0.6790019999999999,0.401589
1.7,0.499901,0.0,0.5000009999999999,0.676887,0.40451699999999996
1.8,0.4999,0.0,0.5,0.6778169999999999,0.405471
1.9,0.4999,0.0,0.5,0.6780290000000001,0.4023030000000001
2.0,0.49989999999999996,0.0,0.49999999999999994,0.6765760000000001,0.402088
2.1,0.49990100000000004,0.0,0.5,0.680286,0.399935
2.2,0.4999,0.0,0.5,0.678925,0.39989
2.3,0.499902,0.0,0.5,0.6808460000000001,0.39876
2.4,0.499901,0.0,0.49999999999999994,0.681268,0.39988499999999993
2.5,0.4999,0.0,0.5,0.680161,0.402916
2.6,0.49989900000000004,0.0,0.49999999999999994,0.6798380000000002,0.40453800000000006
2.7,0.4999,0.0,0.5,0.682596,0.40346000000000004
2.8,0.49990000000000007,0.0,0.5,0.684389,0.39882999999999996
2.9,0.49990100000000004,0.0,0.5,0.682772,0.398068
3.0,0.49990000000000007,0.0,0.499999,0.6817949999999999,0.39549900000000004
3.1,0.4999,0.0,0.500001,0.685553,0.39049700000000004
3.2,0.4999,0.0,0.500001,0.685479,0.38832500000000003
3.3,0.499899,0.0,0.49999899999999997,0.682492,0.393141
3.4,0.49990099999999993,0.0,0.5,0.6804910000000001,0.39161499999999994
3.5,0.4999,0.0,0.49999899999999997,0.678687,0.393484
3.6,0.499899,0.0,0.5,0.676626,0.401291
3.7,0.499899,0.0,0.5,0.677076,0.401597
3.8,0.4999,0.0,0.49999899999999997,0.675706,0.40075399999999994
3.9,0.4999,0.0,0.500001,0.679045,0.40114700000000003
